source,split,profile,method,row,gap_rmse,gap_nrmse,gap_mae,visible_rmse,whole_rmse,gap_correlation,whole_correlation
am_9db,validation,long_gaps,autoregression,13299.5,2.4902920313712023,0.9973468496347837,1.2564526286968594,0.0,0.8235866758667577,0.13397851015031906,0.6197882276129315
am_9db,validation,long_gaps,dictionary_24,13299.5,2.6408123619597252,1.0851396695959366,1.3238248942900712,0.0,0.8733665961163152,0.11947271270204189,0.5730169038307579
am_9db,validation,long_gaps,dictionary_48,13299.5,2.658416528489648,1.0960075923844312,1.342702840870345,0.0,0.879188626950908,0.13446312707507227,0.5787594256449863
am_9db,validation,long_gaps,dictionary_8,13299.5,2.685614605342641,1.1007411537471194,1.3348212501640138,0.0,0.8881835453874382,0.08466993756276657,0.5669506779485676
am_9db,validation,long_gaps,linear,13299.5,2.8094039307621546,1.104692239630622,1.5160836929958312,0.0,0.929123016640498,-0.006759729285132352,0.5748245340400898
am_9db,validation,long_gaps,local_dictionary_24,13299.5,2.728250626808826,1.0994964637829032,1.3892402998475328,0.0,0.9022840840990303,0.16987555705253335,0.5513485805989057
am_9db,validation,long_gaps,local_dictionary_8,13299.5,2.603569049493484,1.0470927910760366,1.295363024429126,0.0,0.8610495282680719,0.19354407633291548,0.5671247669441664
am_9db,validation,long_gaps,local_pca_16,13299.5,3.481122675380315,1.4653125107860283,1.8110288861771506,0.0,1.151273110295518,0.09536450292526305,0.4979504480401547
am_9db,validation,long_gaps,local_pca_32,13299.5,3.220030185180429,1.3681494219182309,1.699113478403678,0.0,1.0649248855135847,0.11144165080364649,0.5227080796766888
am_9db,validation,long_gaps,local_pca_8,13299.5,3.5051169801742526,1.4985419894148968,1.7536455046579311,0.0,1.1592084807163485,0.1169177641604004,0.5031346665178039
am_9db,validation,long_gaps,pca_r32_l01,13299.5,7.139133895773647,3.137372921806213,3.3135454519283365,0.0,2.3610466080760983,-0.034234831275187554,0.22908484489762423
am_9db,validation,long_gaps,pca_r64_l001,13299.5,7.7139296787443925,3.336385396434229,3.6904577707819315,0.0,2.551142445124754,0.08229102329092121,0.2777227609683596
am_9db,validation,long_gaps,pca_r64_l01,13299.5,4.347189485836799,1.84717174163514,2.290314511598834,0.0,1.4376977851998645,0.08387599726692291,0.408926205970143
am_9db,validation,long_gaps,pca_r64_l1,13299.5,2.722753039431821,1.1138038280092075,1.4058793510125354,0.0,0.9004659279727298,0.09731172361740882,0.5692430446788249
am_9db,validation,long_gaps,pca_r96_l01,13299.5,3.302715287551486,1.3799019988718604,1.7711771106899512,0.0,1.0922704127640512,0.14621364071703266,0.5261617849777905
am_9db,validation,long_gaps,pchip,13299.5,2.8080750220934383,1.1034230172188337,1.5066569481968086,0.0,0.9286835214089305,-0.009988457957768836,0.5749210361389651
am_9db,validation,long_gaps,template_1,13299.5,3.0272052139951637,1.252128460900324,1.4567848733833568,0.0,1.0011540204736586,0.1139981851260901,0.5180566109750621
am_9db,validation,long_gaps,zero_fill,13299.5,2.4894817441609387,1.0,1.2481660753975277,0.0,0.8233186985606459,,0.6163238684001126
am_9db,validation,mixed_damage,autoregression,13299.5,3.064016601301576,0.9920232031804693,1.7000585399959434,0.5010536335252535,0.9472168515205847,0.15883249534475616,0.6120270349986097
am_9db,validation,mixed_damage,dictionary_24,13299.5,3.2751738814715377,1.0757821502835567,1.8720428751985931,0.4504253746332889,0.9720764208926513,0.1313355827965895,0.5051439707889535
am_9db,validation,mixed_damage,dictionary_48,13299.5,3.2792093459117617,1.07908279943353,1.8681325481879607,0.37134448607744464,0.9234399218064677,0.1446032750344063,0.5443775474045657
